# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 
1.000000000000000E+004 1.229275466781846E-002 1.572279178184670E+002 
1.003459849147839E+004 1.625714918126470E-002 1.571647597553360E+002 
1.006931668851804E+004 1.276813689555937E-002 1.571175266517105E+002 
1.010415500528214E+004 1.479587174001372E-002 1.569823616541961E+002 
1.013911385736680E+004 -2.360114375681042E-003 1.568859481768009E+002 
1.017419366180605E+004 1.381241416289081E-002 1.568118384176636E+002 
1.020939483707681E+004 1.259875726483254E-003 1.568266417835937E+002 
1.024471780310382E+004 1.236911587340320E-002 1.566937496211197E+002 
1.028016298126474E+004 2.225944755916751E-002 1.565417767388344E+002 
1.031573079439512E+004 2.217068326908847E-002 1.565673042384845E+002 
1.035142166679345E+004 1.631542136308384E-002 1.564959537714232E+002 
1.038723602422623E+004 2.486245408362705E-002 1.563345813826323E+002 
1.042317429393305E+004 6.910447788028397E-003 1.561868915642028E+002 
1.045923690463170E+004 2.857027654849473E-002 1.562051792267187E+002 
1.049542428652324E+004 2.467895765079080E-002 1.560816048718111E+002 
1.053173687129718E+004 2.237928213538083E-002 1.560630818120368E+002 
1.056817509213660E+004 3.199647500958552E-002 1.559127869269214E+002 
1.060473938372335E+004 3.377553025927610E-002 1.558613099816662E+002 
1.064143018224318E+004 2.285551051446508E-002 1.557995997989478E+002 
1.067824792539100E+004 4.381275972540635E-002 1.557352626272796E+002 
1.071519305237608E+004 3.082377361159790E-002 1.556094277456909E+002 
1.075226600392728E+004 3.547521973461180E-002 1.556196596899541E+002 
1.078946722229831E+004 4.133517104498288E-002 1.554004587238672E+002 
1.082679715127302E+004 2.612028365374945E-002 1.552756441288250E+002 
1.086425623617068E+004 1.799606314563827E-002 1.553105176877362E+002 
1.090184492385130E+004 2.702075523355357E-002 1.552642858618573E+002 
1.093956366272096E+004 3.966582249452053E-002 1.552068527646413E+002 
1.097741290273716E+004 1.991376328112336E-002 1.550864703896077E+002 
1.101539309541417E+004 3.047751422863269E-002 1.550073894696958E+002 
1.105350469382845E+004 1.985329073585396E-002 1.549364155031120E+002 
1.109174815262403E+004 2.977641922729559E-002 1.547905377938782E+002 
1.113012392801794E+004 3.313560941205766E-002 1.547082505505244E+002 
1.116863247780564E+004 3.536605018118456E-002 1.545890906550937E+002 
1.120727426136650E+004 3.110569509279300E-002 1.545096468310563E+002 
1.124604973966929E+004 2.012542562524543E-002 1.544748966159519E+002 
1.128495937527765E+004 3.300011977371661E-002 1.543675994082223E+002 
1.132400363235560E+004 2.335168333177165E-002 1.543323968649995E+002 
1.136318297667313E+004 2.533615462770756E-002 1.541984460365167E+002 
