# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 2.050246239638428E-002 1.076998730896770E-001 
1.003459849147839E+004 2.200120445834235E-002 1.075207017979293E-001 
1.006931668851804E+004 1.216108485182110E-002 2.399340543805542E-002 
1.010415500528214E+004 8.834328194663267E-003 1.453973889490637E-002 
1.013911385736680E+004 1.767074002202310E-002 1.527105174412953E-003 
1.017419366180605E+004 1.466164493598415E-002 7.804170251582193E-002 
1.020939483707681E+004 1.851563225229257E-002 1.469048357554514E-001 
1.024471780310382E+004 1.901162161852469E-002 4.655991488867400E-002 
1.028016298126474E+004 1.317595236595548E-002 1.571957399322341E-001 
1.031573079439512E+004 2.252541524159151E-002 5.780487012344126E-002 
1.035142166679345E+004 1.044494570016809E-002 1.236511872111641E-001 
1.038723602422623E+004 2.503068213220860E-002 9.937717462352384E-002 
1.042317429393305E+004 2.588591620002402E-002 1.076332484672810E-001 
1.045923690463170E+004 1.476914560740793E-002 1.093965626474613E-001 
1.049542428652324E+004 1.764929736958596E-002 4.410324907432185E-002 
1.053173687129718E+004 2.570775049982350E-003 6.582294650846056E-002 
1.056817509213660E+004 1.001385180630784E-002 1.295345668957200E-001 
1.060473938372335E+004 7.890994415241723E-003 6.292064354083170E-002 
1.064143018224318E+004 1.360966757459931E-002 1.078460699547553E-001 
1.067824792539100E+004 1.829438958048020E-002 4.012657677819392E-002 
1.071519305237608E+004 5.501904861595324E-003 5.985398667932818E-002 
1.075226600392728E+004 1.446254071257618E-002 9.338287716256408E-002 
1.078946722229831E+004 9.642780442467941E-003 7.217072141368476E-002 
1.082679715127302E+004 1.576212152401280E-002 8.143581471966684E-002 
1.086425623617068E+004 1.142360667398434E-002 1.025847493938026E-001 
1.090184492385130E+004 1.799901539383554E-002 1.720368068317683E-001 
1.093956366272096E+004 1.510441819560476E-002 1.247013894321125E-001 
1.097741290273716E+004 1.708531484426311E-002 1.087315305322555E-001 
1.101539309541417E+004 1.506691413539231E-002 8.895390076276948E-002 
1.105350469382845E+004 2.143865481738734E-002 1.103163808702583E-001 
1.109174815262403E+004 -4.298327145696320E-004 9.688520422581688E-002 
1.113012392801794E+004 1.260969883961135E-002 9.376868396364538E-002 
1.116863247780564E+004 1.495948231087277E-002 1.636456256852773E-001 
1.120727426136650E+004 1.921909604125848E-002 1.773518937114783E-001 
1.124604973966929E+004 1.670691823233587E-002 9.416720636576016E-002 
1.128495937527765E+004 3.195872901986230E-002 1.382312373069790E-001 
1.132400363235560E+004 8.046417885195584E-003 6.827755448023412E-002 
1.136318297667313E+004 1.336818981786347E-002 8.248850883756648E-002 
1.140249787561172E+004 5.078384107333375E-004 1.314496388025443E-001 
1.144194879816989E+004 3.757938659454843E-003 4.712467972492890E-002 
1.148153621496886E+004 2.262700713843906E-002 3.868548783062180E-002 
1.152126059825810E+004 1.319727564832730E-002 8.094034646441428E-002 
1.156112242192102E+004 7.707676851853911E-003 1.030366015721577E-001 
1.160112216148057E+004 1.423540946600727E-002 1.573188212017533E-001 
1.164126029410495E+004 1.260169187932779E-002 1.103346010516438E-001 
1.168153729861328E+004 2.703948434597164E-002 1.366430091935608E-001 
1.172195365548134E+004 1.614419473104006E-002 9.010988874999756E-002 
1.176250984684727E+004 4.453907473915676E-003 -4.026882003823644E-003 
1.180320635651734E+004 1.294251629667586E-002 5.097324421446230E-002 
1.184404366997170E+004 1.280936640942338E-002 9.228269667092179E-002 
1.188502227437023E+004 1.961619254431265E-002 1.030231239635873E-001 
