# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 1.020375919419316E-002 1.426385729700696E-001 
1.003459849147839E+004 2.563302044524150E-002 1.236957389530254E-001 
1.006931668851804E+004 1.597525650784323E-002 2.754586880993961E-002 
1.010415500528214E+004 6.919181633542651E-003 8.720410175453862E-002 
1.013911385736680E+004 6.386358931616323E-003 6.836956109666063E-002 
1.017419366180605E+004 9.476458780452130E-003 1.169554206207878E-001 
1.020939483707681E+004 6.816678162907997E-003 9.304054183742046E-002 
1.024471780310382E+004 9.159330362540031E-003 1.455113559537290E-001 
1.028016298126474E+004 9.578425840243376E-003 9.453934831236004E-002 
1.031573079439512E+004 1.645854999705613E-002 1.257078566962455E-001 
1.035142166679345E+004 2.517348025533119E-003 1.890499239656487E-001 
1.038723602422623E+004 1.784278309514767E-002 9.067903952054636E-002 
1.042317429393305E+004 4.266079348432874E-003 1.131265752733272E-001 
1.045923690463170E+004 2.034265212841655E-002 7.980244607527712E-002 
1.049542428652324E+004 1.400003789974336E-002 1.008229807042243E-001 
1.053173687129718E+004 1.143301873494982E-002 6.067773779168055E-002 
1.056817509213660E+004 1.093196310103578E-002 1.704973312675505E-001 
1.060473938372335E+004 9.180857970975644E-003 6.191824404235172E-002 
1.064143018224318E+004 2.092805345929346E-002 1.077459389138462E-001 
1.067824792539100E+004 1.537921279002383E-002 8.869897824939534E-002 
1.071519305237608E+004 5.111176504376987E-003 1.021016624873933E-001 
1.075226600392728E+004 1.218890849468521E-002 1.312345202214865E-001 
1.078946722229831E+004 5.092834212255858E-003 5.780604241592062E-002 
1.082679715127302E+004 1.873257964810878E-002 1.427656112113078E-001 
1.086425623617068E+004 6.876953519152447E-003 1.328704977688632E-001 
1.090184492385130E+004 2.305182123532686E-002 1.133332592163732E-001 
1.093956366272096E+004 8.329745516621887E-003 1.360224776376959E-001 
1.097741290273716E+004 1.547838134684511E-002 1.452905722168175E-001 
1.101539309541417E+004 2.234116808338118E-002 1.018672057970041E-001 
1.105350469382845E+004 1.102404223857171E-002 1.048436334891779E-001 
1.109174815262403E+004 1.282254885006297E-002 1.285929491160295E-001 
1.113012392801794E+004 1.702338583275928E-002 1.832838942130727E-001 
1.116863247780564E+004 1.558445356297325E-002 1.686110788546291E-001 
1.120727426136650E+004 2.080772986242455E-002 1.314819739141994E-001 
1.124604973966929E+004 1.150780810501911E-002 1.652019888471682E-001 
1.128495937527765E+004 2.070796324773841E-002 8.419947236797876E-002 
1.132400363235560E+004 8.446096648348321E-003 1.597849499294655E-001 
1.136318297667313E+004 9.546223425075965E-003 1.382384246173738E-001 
1.140249787561172E+004 5.009377882165027E-003 8.553942506426414E-002 
1.144194879816989E+004 7.362462473928650E-003 1.491463304161897E-001 
1.148153621496886E+004 6.137313178049694E-003 1.077381264504891E-001 
1.152126059825810E+004 1.817859778568080E-002 1.041481165171978E-001 
1.156112242192102E+004 5.680285751863714E-003 1.380589318615123E-001 
1.160112216148057E+004 1.593532264172939E-002 1.294567016057361E-001 
1.164126029410495E+004 1.574863776996773E-002 1.136705841671674E-001 
1.168153729861328E+004 2.223578321243411E-002 1.502129235637951E-001 
1.172195365548134E+004 1.588581639858094E-002 2.092677835003084E-001 
1.176250984684727E+004 -2.878857498233921E-003 -1.334535867844377E-002 
1.180320635651734E+004 1.379784590143990E-002 7.620401633088771E-002 
1.184404366997170E+004 1.938153210752475E-002 1.936731003579659E-001 
1.188502227437023E+004 1.812391960851128E-002 1.666808716469883E-001 
1.192614265855826E+004 1.832127663945575E-002 1.668508347481496E-001 
1.196740531307248E+004 1.801276642575797E-002 1.384377827023000E-001 
1.200881073014676E+004 1.034863928447217E-002 1.361683988967710E-001 
1.205035940371802E+004 1.340544747496281E-002 1.338761734069449E-001 
1.209205182943213E+004 9.815981682345614E-003 9.190569586871636E-002 
1.213388850464982E+004 2.293517813253522E-002 1.952270016385197E-001 
1.217586992845261E+004 1.733464682765263E-002 1.100920257500103E-001 
1.221799660164877E+004 9.467022061385477E-003 8.157069995934101E-002 
1.226026902677928E+004 3.215679021782842E-003 6.930600321599832E-002 
1.230268770812387E+004 -9.444630586948332E-004 1.418696481342866E-001 
1.234525315170695E+004 9.815031849642756E-003 1.185914974010284E-001 
1.238796586530375E+004 1.409252104976054E-002 9.685036529691027E-002 
1.243082635844628E+004 1.379719479011369E-002 1.242230107436349E-001 
1.247383514242949E+004 1.080093611311405E-002 1.593153049223784E-001 
1.251699273031731E+004 8.923408855363050E-003 8.721770491955697E-002 
1.256029963694881E+004 1.188915637325565E-002 1.188599560603619E-001 
1.260375637894431E+004 4.742967495720165E-003 6.173526111224804E-002 
1.264736347471157E+004 2.140485416486736E-002 6.861192474718098E-002 
1.269112144445197E+004 1.347998341937855E-002 7.824653252532049E-002 
1.273503081016668E+004 3.941498918805761E-003 1.004759351913600E-001 
1.277909209566294E+004 8.412942423588060E-003 4.452370550233746E-003 
1.282330582656028E+004 1.995829084508016E-002 9.777158396801690E-002 
1.286767253029679E+004 1.123268269177026E-002 9.899104850383193E-002 
1.291219273613541E+004 -4.397058737781314E-004 7.905355477308272E-002 
1.295686697517026E+004 9.841209627930480E-003 6.871935307526504E-002 
1.300169578033297E+004 2.914897072430614E-003 3.223963964161365E-002 
1.304667968639902E+004 1.943576303894112E-002 1.722233693119000E-001 
1.309181922999414E+004 1.170934424115586E-002 1.500428362614718E-001 
1.313711494960070E+004 2.253906544110436E-002 1.722530851942967E-001 
1.318256738556415E+004 1.881165606128607E-002 1.416696090855438E-001 
1.322817708009942E+004 4.409636843500459E-003 4.314315367129545E-002 
1.327394457729747E+004 1.545620171300335E-002 1.215981825286616E-001 
1.331987042313170E+004 7.535456878884014E-003 5.749092694327370E-002 
1.336595516546450E+004 6.423430273341420E-003 8.484408547837519E-002 
1.341219935405379E+004 3.584312741987310E-004 1.180031001720150E-001 
1.345860354055957E+004 1.682240603296960E-002 1.120224398302552E-001 
1.350516827855048E+004 -1.161443234757263E-004 8.588960883600462E-002 
1.355189412351045E+004 1.499801881394576E-002 1.111359723766656E-001 
1.359878163284528E+004 -4.786929754880070E-003 8.903877388331641E-002 
