# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 1.602031511230638E-002 1.458814051978444E-001 
1.003459849147839E+004 1.806211372808602E-002 6.820782166079455E-002 
1.006931668851804E+004 1.059177988906077E-002 5.469302466876327E-002 
1.010415500528214E+004 1.925187830142092E-002 9.588497119266830E-002 
1.013911385736680E+004 4.252317951967594E-003 9.191443604422396E-002 
1.017419366180605E+004 1.177682434396481E-002 9.941258176472008E-002 
1.020939483707681E+004 8.665551217958907E-003 1.312551942246837E-001 
1.024471780310382E+004 2.358342472397823E-002 8.312915013976441E-002 
1.028016298126474E+004 4.942183209725896E-003 1.011730169887292E-001 
1.031573079439512E+004 7.230449652573301E-003 9.281657230404543E-002 
1.035142166679345E+004 5.293483573814764E-003 1.049200068356236E-001 
1.038723602422623E+004 1.711310673082190E-002 1.037584315000827E-001 
1.042317429393305E+004 1.001278077707697E-002 9.896992136317279E-002 
1.045923690463170E+004 7.550748775810956E-003 1.304248320888204E-001 
1.049542428652324E+004 1.406690737406217E-002 1.234268398521040E-001 
1.053173687129718E+004 9.851917259672520E-003 1.323858404306979E-001 
1.056817509213660E+004 1.150315965230870E-002 1.534369875397987E-001 
1.060473938372335E+004 1.010327238507148E-002 8.828516072274290E-002 
1.064143018224318E+004 1.282088291142291E-002 7.661032628105041E-002 
1.067824792539100E+004 1.112372495832109E-002 5.477685191032515E-002 
1.071519305237608E+004 -9.018046060508269E-003 4.754338187804483E-002 
1.075226600392728E+004 1.918985730698577E-002 1.477621102057831E-001 
1.078946722229831E+004 1.513695711512574E-003 1.198947417426628E-001 
1.082679715127302E+004 7.613824333016711E-003 1.158648638968773E-001 
1.086425623617068E+004 8.061104115836389E-004 1.216849862621128E-001 
1.090184492385130E+004 1.815513227046476E-003 8.261756843526814E-002 
1.093956366272096E+004 6.044931734356206E-003 9.368214902505347E-002 
1.097741290273716E+004 1.037012921761047E-002 1.353263771974123E-001 
1.101539309541417E+004 1.202035278140388E-002 9.325887404401087E-002 
1.105350469382845E+004 9.283213182134920E-003 1.005443508702295E-001 
1.109174815262403E+004 2.095761038566723E-003 1.343468063135890E-001 
1.113012392801794E+004 1.511707226475215E-002 1.498873262567491E-001 
1.116863247780564E+004 4.862205847729611E-003 1.484212200097980E-001 
1.120727426136650E+004 1.820211125999198E-002 1.949440264095512E-001 
1.124604973966929E+004 7.472686023735542E-003 1.331335985930510E-001 
1.128495937527765E+004 1.867673412607665E-002 1.337077735888663E-001 
1.132400363235560E+004 -1.887876901729054E-003 1.122680775252316E-001 
1.136318297667313E+004 1.000591501383677E-002 1.147106842911771E-001 
1.140249787561172E+004 4.972275225764678E-003 1.235402236856551E-001 
1.144194879816989E+004 -8.317036993868420E-003 1.343234884067546E-001 
1.148153621496886E+004 1.510883553431423E-002 1.653019739280670E-001 
1.152126059825810E+004 2.272626010346963E-003 1.406557331976161E-001 
1.156112242192102E+004 5.199841485235916E-003 1.078020777396941E-001 
1.160112216148057E+004 7.892935811921411E-003 1.450546258923841E-001 
1.164126029410495E+004 1.195176867917490E-002 1.359214059192725E-001 
1.168153729861328E+004 7.116049736194593E-003 1.417744695113287E-001 
1.172195365548134E+004 -2.868290817053081E-004 2.058673150456226E-001 
1.176250984684727E+004 3.601035378073558E-003 3.255395512370971E-002 
1.180320635651734E+004 -3.755190687856719E-003 9.045399120965636E-002 
1.184404366997170E+004 9.699291594936753E-003 9.968602627476127E-002 
1.188502227437023E+004 1.861227750063085E-002 1.527006744503917E-001 
1.192614265855826E+004 6.344212217372309E-003 1.433391267779219E-001 
1.196740531307248E+004 9.021242356260886E-003 9.323143832888284E-002 
1.200881073014676E+004 -1.219763964891111E-003 1.437427098503345E-001 
1.205035940371802E+004 1.292417792515531E-002 1.095534123402100E-001 
1.209205182943213E+004 4.518865416944420E-003 9.155185658906603E-002 
1.213388850464982E+004 1.770904924458164E-002 1.820024708792984E-001 
1.217586992845261E+004 7.079225923398684E-003 1.707748217000620E-001 
1.221799660164877E+004 -4.544547599022709E-004 1.542833687833933E-001 
1.226026902677928E+004 1.965487070828115E-004 1.208742270589897E-001 
1.230268770812387E+004 -5.532079764260498E-003 1.251524073294613E-001 
1.234525315170695E+004 1.420754674802292E-002 1.121723589820114E-001 
1.238796586530375E+004 6.787089835488828E-003 1.051724551767876E-001 
1.243082635844628E+004 1.154245570163167E-002 1.097563905616839E-001 
1.247383514242949E+004 5.977125694813980E-003 1.554479939865329E-001 
1.251699273031731E+004 1.208154855735720E-002 6.832733142027499E-002 
1.256029963694881E+004 -1.114130982813476E-003 1.472724471143374E-001 
1.260375637894431E+004 1.406905161214339E-002 1.109081900972500E-001 
1.264736347471157E+004 1.241872167367784E-002 4.875482517666806E-002 
