# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 1.488585796778759E-002 1.412088954360384E-001 
1.003459849147839E+004 1.932559654323283E-002 1.435017508621240E-001 
1.006931668851804E+004 1.474930829025796E-002 3.697313640481403E-002 
1.010415500528214E+004 1.153471848678576E-002 1.183268023363205E-001 
1.013911385736680E+004 9.010530392384851E-003 5.641110875888283E-002 
1.017419366180605E+004 1.547351313590092E-002 8.614823466790536E-002 
1.020939483707681E+004 1.004026281456583E-002 1.057576262083054E-001 
1.024471780310382E+004 1.617465310846953E-002 1.327776910689734E-001 
1.028016298126474E+004 1.369595867190994E-002 8.834221224140347E-002 
1.031573079439512E+004 1.285408250089856E-002 1.239772823449373E-001 
1.035142166679345E+004 4.583240789300039E-003 1.382792216396643E-001 
1.038723602422623E+004 2.131854724241293E-002 1.591815011318733E-001 
1.042317429393305E+004 1.594472592435398E-002 1.624201600588100E-001 
1.045923690463170E+004 1.124480663278642E-002 8.485074798868686E-002 
1.049542428652324E+004 1.402459970473051E-002 1.323143863548736E-001 
1.053173687129718E+004 1.015281314894874E-002 9.551429046956574E-002 
1.056817509213660E+004 1.738021257532162E-002 1.944075620278276E-001 
1.060473938372335E+004 1.302096922976864E-002 1.018627893113513E-001 
1.064143018224318E+004 2.324205143597230E-002 1.620129332291343E-001 
1.067824792539100E+004 1.496634613215860E-002 8.120156103917535E-002 
1.071519305237608E+004 4.928159828355217E-003 1.281892895517015E-001 
1.075226600392728E+004 1.278017767084275E-002 1.408692752074466E-001 
1.078946722229831E+004 1.336499177780135E-002 8.548973111866695E-002 
1.082679715127302E+004 1.932114428412022E-002 1.176838265925902E-001 
1.086425623617068E+004 1.462472329478386E-002 1.488427963012139E-001 
1.090184492385130E+004 1.038278434467716E-002 1.422993006423916E-001 
1.093956366272096E+004 1.053994482443406E-002 1.322103356500332E-001 
1.097741290273716E+004 1.475967980572093E-002 1.422947600651915E-001 
1.101539309541417E+004 1.929759439396751E-002 1.326408855938495E-001 
1.105350469382845E+004 1.194153378530702E-002 1.439223679675475E-001 
1.109174815262403E+004 3.502849628542425E-003 1.521657884365004E-001 
1.113012392801794E+004 2.193166804416338E-002 1.254457983302169E-001 
1.116863247780564E+004 8.788856748067030E-003 1.943172082486289E-001 
1.120727426136650E+004 2.066600282361166E-002 1.695198960967332E-001 
1.124604973966929E+004 1.517968795900147E-002 1.124757363399479E-001 
1.128495937527765E+004 3.073110597044808E-002 1.450933391889390E-001 
1.132400363235560E+004 7.581135180469077E-004 8.995606183185319E-002 
1.136318297667313E+004 1.950747350336651E-002 1.204746447184167E-001 
1.140249787561172E+004 8.772699328106244E-003 1.780484448674594E-001 
1.144194879816989E+004 3.843548743547407E-003 8.248037850626036E-002 
1.148153621496886E+004 1.259454599691161E-002 1.430098147295060E-001 
1.152126059825810E+004 1.054929635377227E-002 1.647645369910387E-001 
1.156112242192102E+004 5.561376540557448E-003 1.152123288805685E-001 
1.160112216148057E+004 4.838751813505112E-003 1.617132282278377E-001 
1.164126029410495E+004 2.399254144057140E-002 1.235002482622466E-001 
1.168153729861328E+004 2.532353480436492E-002 2.027041732627025E-001 
1.172195365548134E+004 2.044571658939004E-002 2.342201246827102E-001 
1.176250984684727E+004 9.217542440533489E-003 9.704742050169170E-002 
1.180320635651734E+004 1.104669150746745E-002 1.468500026581347E-001 
1.184404366997170E+004 1.315036836441615E-002 1.261294784003925E-001 
1.188502227437023E+004 2.266494409076098E-002 1.805600406114686E-001 
1.192614265855826E+004 1.721091045469951E-002 1.774978157968229E-001 
1.196740531307248E+004 1.821416330715935E-002 1.264854621252795E-001 
1.200881073014676E+004 3.327226374711162E-003 2.090508100230874E-001 
1.205035940371802E+004 1.857193861808452E-002 1.576616814859131E-001 
1.209205182943213E+004 1.778708227718931E-002 1.613619316535036E-001 
1.213388850464982E+004 2.081430397766936E-002 1.197412382080148E-001 
1.217586992845261E+004 2.005952372943284E-002 1.714870981060067E-001 
1.221799660164877E+004 -1.241739748215790E-003 1.343401864203166E-001 
1.226026902677928E+004 1.343197659266232E-002 1.701411401568732E-001 
1.230268770812387E+004 3.601883671885984E-003 2.064941249244776E-001 
1.234525315170695E+004 1.000183641814340E-002 1.295086559402323E-001 
1.238796586530375E+004 1.289203409965379E-002 1.139688419635849E-001 
1.243082635844628E+004 1.339500417026680E-002 9.878337574477705E-002 
1.247383514242949E+004 1.091369902279807E-002 2.161454105423508E-001 
1.251699273031731E+004 1.727640393598124E-002 9.225227731976562E-002 
