# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 1.964670379365603E-002 1.154846866183729E-001 
1.003459849147839E+004 2.242674386743341E-002 1.504737823637635E-001 
1.006931668851804E+004 1.400892996442589E-002 1.183959600273093E-002 
1.010415500528214E+004 1.032644573175679E-002 1.658599675915536E-001 
1.013911385736680E+004 8.065844614303565E-003 4.778094959347532E-002 
1.017419366180605E+004 1.002930391352637E-002 1.210429822078524E-001 
1.020939483707681E+004 1.230653699181518E-002 1.886992232077857E-001 
1.024471780310382E+004 1.997017023534384E-002 4.979840194978632E-002 
1.028016298126474E+004 8.189679776886059E-003 1.389827362324308E-001 
1.031573079439512E+004 1.807622460718967E-002 9.050055135777130E-002 
1.035142166679345E+004 3.087895829266061E-003 1.160350442042516E-001 
1.038723602422623E+004 1.359706585380828E-002 1.541991798663043E-001 
1.042317429393305E+004 1.346274833064230E-002 1.416064203847405E-001 
1.045923690463170E+004 4.472909768269502E-003 1.761171817792912E-001 
1.049542428652324E+004 1.014863931139575E-002 1.479921880092227E-001 
1.053173687129718E+004 1.121534596758922E-002 9.532035482172850E-002 
1.056817509213660E+004 1.400458692885652E-002 1.500704790649118E-001 
1.060473938372335E+004 1.594877227567742E-002 1.016707610150755E-001 
1.064143018224318E+004 -2.612129906713082E-004 9.767134129217843E-002 
1.067824792539100E+004 1.554074877436178E-002 1.226258103975947E-001 
1.071519305237608E+004 1.406404363647637E-002 1.524046154156931E-001 
1.075226600392728E+004 1.518249695768126E-002 1.377611340465736E-001 
1.078946722229831E+004 8.367405776126753E-003 1.151282556797573E-001 
1.082679715127302E+004 1.004835800510054E-002 1.658897556102259E-001 
1.086425623617068E+004 1.203812505115449E-002 1.596424309975426E-001 
1.090184492385130E+004 1.415474525477902E-002 9.119790211772422E-002 
1.093956366272096E+004 1.096281950483816E-002 1.323417165808330E-001 
1.097741290273716E+004 1.564850583301610E-002 1.123882768792717E-001 
1.101539309541417E+004 1.089353880865564E-002 2.124386110774587E-001 
1.105350469382845E+004 2.011472100966020E-002 9.706324838995123E-002 
1.109174815262403E+004 5.836627015015116E-003 1.243260877805644E-001 
1.113012392801794E+004 1.688067540341055E-002 1.744741060880161E-001 
1.116863247780564E+004 1.534167064240106E-002 2.121706845222356E-001 
1.120727426136650E+004 1.249807674132022E-002 2.392469871161473E-001 
1.124604973966929E+004 1.295707702307455E-002 1.392248174466375E-001 
1.128495937527765E+004 2.202086080613436E-002 1.541477479138762E-001 
1.132400363235560E+004 1.279081618902987E-002 8.647173576312234E-002 
1.136318297667313E+004 1.562552992192255E-002 1.366843845944356E-001 
1.140249787561172E+004 -1.832875735034011E-003 1.289703535888314E-001 
1.144194879816989E+004 2.229852153478211E-003 1.432531466513148E-001 
1.148153621496886E+004 1.316231925146053E-002 1.017914012774652E-001 
1.152126059825810E+004 1.909021799527394E-002 1.608873740984079E-001 
1.156112242192102E+004 5.868190225475163E-003 2.062937561006984E-001 
1.160112216148057E+004 1.169366923664043E-002 1.368024387696965E-001 
1.164126029410495E+004 1.492323397097066E-002 1.925435130320490E-001 
1.168153729861328E+004 1.856581833679318E-002 1.674365416325489E-001 
1.172195365548134E+004 1.365581307296785E-002 1.842651579157996E-001 
1.176250984684727E+004 1.440391770788614E-002 5.476684734156717E-002 
1.180320635651734E+004 7.589218578901486E-003 1.061599811693025E-001 
1.184404366997170E+004 1.327342794902901E-002 2.016400461650899E-001 
1.188502227437023E+004 1.667360064631847E-002 1.798597851061305E-001 
1.192614265855826E+004 1.155686393736677E-002 1.331823888601380E-001 
1.196740531307248E+004 1.612612578238587E-002 1.516177889722739E-001 
1.200881073014676E+004 4.112141056300654E-003 2.154927313761630E-001 
1.205035940371802E+004 2.659785596583441E-002 1.557694328243261E-001 
1.209205182943213E+004 1.321074521127385E-002 1.985987425239930E-001 
1.213388850464982E+004 2.188628433481103E-002 1.857245938757929E-001 
1.217586992845261E+004 2.268735338445515E-002 8.660375750227657E-002 
1.221799660164877E+004 3.072663410632373E-003 1.455697256101677E-001 
1.226026902677928E+004 6.419708150595191E-003 1.171144942943111E-001 
1.230268770812387E+004 1.446584981753036E-002 1.931768989993445E-001 
1.234525315170695E+004 1.950209608201865E-002 1.078289360497698E-001 
1.238796586530375E+004 1.970285576875699E-002 1.306077803379797E-001 
1.243082635844628E+004 6.210206694272671E-003 1.086565741911682E-001 
1.247383514242949E+004 1.312799898803724E-002 1.733163521588638E-001 
1.251699273031731E+004 2.057426133796711E-002 1.226604662141520E-001 
1.256029963694881E+004 1.335107123107376E-002 1.484048250454899E-001 
1.260375637894431E+004 1.521615170044339E-002 1.415344109775602E-001 
1.264736347471157E+004 3.185345959771732E-002 6.560325242692049E-002 
1.269112144445197E+004 7.297525796118056E-003 1.028501022143708E-001 
1.273503081016668E+004 9.215564347376427E-003 1.584495374648231E-001 
1.277909209566294E+004 1.203453970423194E-002 1.008108618482870E-001 
1.282330582656028E+004 2.359166736614584E-002 1.633666348845878E-001 
1.286767253029679E+004 1.797993989102466E-002 1.719216571514103E-001 
1.291219273613541E+004 1.035652884713350E-002 1.207336411178286E-001 
1.295686697517026E+004 3.243467640801038E-003 1.063429541907697E-001 
1.300169578033297E+004 1.272243423222444E-002 4.492438716511488E-002 
1.304667968639902E+004 2.226931272033719E-002 1.976742497540558E-001 
1.309181922999414E+004 1.756725791477923E-002 1.640786430699397E-001 
1.313711494960070E+004 3.118828335046569E-002 2.531294061257052E-001 
1.318256738556415E+004 2.339989186830814E-002 1.310814878230355E-001 
1.322817708009942E+004 1.594698444967201E-002 9.291482904351021E-002 
1.327394457729747E+004 2.371944618668201E-002 1.893191759031171E-001 
1.331987042313170E+004 1.522227781897099E-002 9.831216663367223E-002 
1.336595516546450E+004 1.303758656685365E-002 9.599738662982618E-002 
1.341219935405379E+004 1.067087088938219E-002 1.825862323354381E-001 
1.345860354055957E+004 2.145759647095154E-002 1.856456390892743E-001 
1.350516827855048E+004 1.397839089176715E-002 1.781350499894877E-001 
1.355189412351045E+004 1.507426084702584E-002 1.619350612054277E-001 
1.359878163284528E+004 2.326728786138433E-003 1.186549190068528E-001 
1.364583136588933E+004 2.175287939145281E-002 1.598008819180344E-001 
1.369304388391216E+004 3.403355999809063E-002 8.274422046237148E-002 
1.374041975012524E+004 1.754021615008399E-002 1.326816241337145E-001 
1.378795952968867E+004 1.712086186788591E-002 1.725882389099381E-001 
1.383566378971790E+004 2.328237155450269E-002 1.646725603722696E-001 
1.388353309929055E+004 1.552144474007110E-002 9.440751711376755E-002 
1.393156802945313E+004 1.900083511342304E-003 1.701398716028066E-001 
1.397976915322790E+004 2.269742998315404E-002 1.348866662803389E-001 
1.402813704561968E+004 3.285086793575692E-002 1.234650504095845E-001 
1.407667228362274E+004 8.641391960628001E-003 1.507048594981646E-001 
1.412537544622765E+004 2.460833401778037E-002 8.985346646067910E-002 
1.417424711442819E+004 5.656016599095659E-003 1.440478320441672E-001 
1.422328787122830E+004 1.951717355669222E-002 1.224367148025077E-001 
1.427249830164905E+004 1.965792211689164E-002 2.016058608112925E-001 
1.432187899273554E+004 2.732793577678455E-002 7.266874770987000E-002 
1.437143053356402E+004 1.059862424974297E-002 7.926883905300595E-002 
1.442115351524880E+004 1.451815666574643E-002 1.470079000848320E-001 
1.447104853094939E+004 4.449588704435317E-003 1.059849466174329E-001 
1.452111617587754E+004 7.786436494062331E-003 8.975794942668557E-002 
1.457135704730432E+004 2.957968690567081E-002 1.378577595548670E-001 
1.462177174456730E+004 2.453476951769964E-002 1.602867102768379E-001 
1.467236086907764E+004 1.422196624670221E-002 1.752542813134237E-001 
1.472312502432731E+004 1.166292105181352E-002 7.768025130239718E-002 
1.477406481589626E+004 1.123507599140203E-002 1.375293706485349E-001 
1.482518085145966E+004 1.907455301279577E-002 1.336917464492477E-001 
1.487647374079514E+004 2.009734183131985E-002 1.742074404562198E-001 
1.492794409579009E+004 2.481188247623578E-002 1.451984096173844E-001 
1.497959253044890E+004 1.075983269411336E-002 1.631107429870587E-001 
1.503141966090035E+004 1.561319645104305E-002 1.278263157516539E-001 
1.508342610540493E+004 2.232877357497185E-002 1.781109489712447E-001 
1.513561248436221E+004 2.491719642739504E-002 1.578020665527190E-001 
1.518797942031826E+004 2.147675271523945E-002 1.226168757267599E-001 
1.524052753797305E+004 1.319933736928241E-002 5.836257135331004E-002 
1.529325746418793E+004 3.366510154000789E-002 1.679892783251827E-001 
1.534616982799308E+004 2.409467658795344E-002 1.594057183883473E-001 
1.539926526059506E+004 2.275484569854754E-002 4.088792257212856E-002 
1.545254439538428E+004 2.420915790577955E-002 1.263334190611211E-001 
1.550600786794260E+004 6.088110456833573E-003 2.851712328202049E-002 
1.555965631605089E+004 2.867906523765654E-002 1.035599756560514E-001 
1.561349037969665E+004 2.076311196796486E-002 4.705085517755472E-002 
1.566751070108164E+004 1.298907342038194E-002 1.315730351016813E-001 
1.572171792462954E+004 1.024237359347192E-002 1.245400185742007E-001 
1.577611269699364E+004 1.776906170408985E-002 1.268245821448138E-001 
1.583069566706455E+004 2.248967455095911E-002 1.548187672850500E-001 
1.588546748597794E+004 9.580660907983027E-003 6.664839722706067E-002 
1.594042880712233E+004 1.527503450838908E-002 1.922856242403040E-001 
1.599558028614684E+004 2.590881173259116E-002 1.401267534051492E-001 
1.605092258096906E+004 1.918936767216726E-002 3.695568882421127E-002 
1.610645635178286E+004 2.209684837875733E-002 1.273917819217492E-001 
1.616218226106629E+004 1.924696947959391E-002 8.849279350062882E-002 
1.621810097358946E+004 1.840110276399458E-002 8.476992581769038E-002 
1.627421315642251E+004 2.493344705224037E-002 1.684456285040064E-001 
1.633051947894351E+004 2.564448849828377E-002 1.140467069723133E-001 
1.638702061284650E+004 1.235932951671246E-002 1.316394433088717E-001 
1.644371723214948E+004 2.457986957196265E-002 1.360912080994428E-001 
1.650061001320244E+004 7.519787073077007E-003 9.316508460730839E-002 
1.655769963469545E+004 3.082276490921034E-002 1.321821146925677E-001 
1.661498677766673E+004 3.106585376637648E-002 1.274158557183888E-001 
1.667247212551080E+004 1.834715057560279E-002 9.330743640619857E-002 
1.673015636398663E+004 1.916218078181802E-002 1.072427669876001E-001 
1.678804018122578E+004 2.575131053861412E-002 1.088557919011135E-001 
1.684612426774068E+004 1.511985584531689E-002 1.192314059554743E-001 
1.690440931643282E+004 2.083038004276649E-002 1.269942076989291E-001 
1.696289602260101E+004 1.645756124105737E-002 8.260653159093145E-002 
1.702158508394969E+004 2.416604010236704E-002 6.088474827116013E-002 
1.708047720059727E+004 1.178329807936811E-002 1.121518210926479E-001 
1.713957307508445E+004 1.440444812734487E-002 1.137423016050027E-001 
1.719887341238260E+004 2.015141040431505E-002 9.345238643312498E-002 
1.725837891990223E+004 1.927303707572540E-002 1.447556607316584E-001 
1.731809030750134E+004 1.861300420976072E-002 1.394150123203556E-001 
1.737800828749395E+004 1.854524060081481E-002 9.421401041572529E-002 
1.743813357465858E+004 2.886342881260604E-002 1.109261837633491E-001 
1.749846688624677E+004 3.374791437722205E-002 9.349706397762923E-002 
1.755900894199165E+004 3.383930536676021E-002 1.262470344161674E-001 
1.761976046411650E+004 1.463363153510401E-002 8.713123300217721E-002 
1.768072217734340E+004 2.620273040884566E-002 9.333131571839053E-002 
1.774189480890187E+004 1.590850487181894E-002 6.561928384906102E-002 
1.780327908853750E+004 1.851151910421048E-002 1.417248898736523E-001 
1.786487574852072E+004 1.556106372321790E-002 9.102700336705802E-002 
1.792668552365550E+004 2.701643703432496E-002 1.419105438242460E-001 
1.798870915128810E+004 1.746067565177355E-002 1.009214183139450E-001 
1.805094737131591E+004 1.997011370762227E-002 1.531442124745727E-001 
1.811340092619625E+004 1.913570255259524E-002 1.058451853924598E-001 
1.817607056095522E+004 2.453570967076206E-002 4.459242524392614E-002 
1.823895702319661E+004 1.876464071963600E-002 1.191775506350721E-001 
1.830206106311079E+004 1.338612545277056E-002 1.227170771894458E-001 
1.836538343348369E+004 2.100667342341719E-002 7.640404946163087E-002 
1.842892488970577E+004 2.258182851889282E-002 1.048131167184309E-001 
1.849268618978102E+004 1.797785929805499E-002 9.308323144205016E-002 
1.855666809433599E+004 2.680624893761814E-002 1.022975383785277E-001 
1.862087136662892E+004 1.689412964052967E-002 7.886798352078629E-002 
1.868529677255877E+004 2.411616628098407E-002 7.708432135059833E-002 
1.874994508067443E+004 2.310034123418992E-002 7.094557140243532E-002 
1.881481706218384E+004 1.700016469168175E-002 1.124950099257108E-001 
1.887991349096318E+004 1.372671031796439E-002 8.416655503739061E-002 
1.894523514356617E+004 2.195994873278001E-002 1.140547901646833E-001 
1.901078279923325E+004 2.307877931607712E-002 1.269916603665257E-001 
1.907655723990093E+004 2.856235266813791E-002 3.804846691675391E-002 
1.914255925021111E+004 2.021473191080353E-002 9.334455262025687E-002 
1.920878961752042E+004 1.953184051682706E-002 4.878887324139714E-002 
1.927524913190962E+004 1.732914230824893E-002 4.443691328920657E-002 
1.934193858619304E+004 1.368598334147909E-002 2.606352584043232E-002 
1.940885877592804E+004 2.513656497094855E-002 9.497266078574776E-002 
1.947601049942447E+004 2.679663390881041E-002 9.326495522441478E-002 
1.954339455775421E+004 2.076899222945437E-002 7.903234653042016E-002 
1.961101175476074E+004 1.907907206618474E-002 6.841498781686169E-002 
1.967886289706872E+004 2.642392586747902E-002 7.930368654572839E-002 
1.974694879409359E+004 1.902787958276229E-002 5.485431436359796E-002 
1.981527025805126E+004 3.006312360226912E-002 7.316674526352039E-002 
1.988382810396778E+004 1.729964948469708E-002 3.167527289257745E-002 
1.995262314968908E+004 2.846671875969553E-002 1.008841962032920E-001 
2.002165621589069E+004 1.970594323062421E-002 6.059777136821413E-002 
2.009092812608757E+004 2.164279757683972E-002 7.573563777340334E-002 
2.016043970664391E+004 1.743873152347885E-002 7.298156100174433E-002 
2.023019178678301E+004 3.355733791312961E-002 6.319684898366355E-002 
2.030018519859713E+004 1.083020480146876E-002 -1.070846665305132E-002 
2.037042077705748E+004 4.225815001952616E-002 7.130386188030584E-002 
2.044089936002411E+004 7.574991580687576E-003 -1.031141851504033E-002 
2.051162178825595E+004 3.126006227881083E-002 1.231352057800958E-001 
2.058258890542085E+004 2.028745292432784E-002 9.901876891095698E-002 
2.065380155810560E+004 1.856407556069994E-002 5.713793035194671E-002 
2.072526059582605E+004 2.976607190266466E-002 1.418705328695190E-001 
2.079696687103726E+004 2.375337335070166E-002 6.659649004530005E-002 
2.086892123914366E+004 2.894812230927010E-002 1.037555540323235E-001 
2.094112455850924E+004 1.984559586814860E-002 2.026430382480847E-002 
2.101357769046779E+004 2.336435743781514E-002 8.101297485944489E-002 
2.108628149933321E+004 3.071607297805491E-002 5.757811441869482E-002 
2.115923685240978E+004 1.599413929240261E-002 1.176617576699675E-002 
2.123244462000252E+004 3.166377602259029E-002 3.387251624229500E-002 
2.130590567542758E+004 1.168859451274875E-002 1.332924629333012E-001 
2.137962089502265E+004 3.661981197633183E-002 6.989285077431018E-002 
2.145359115815742E+004 2.601653470600817E-002 1.934690535963544E-002 
2.152781734724407E+004 1.395502904913908E-002 3.162790390744450E-002 
2.160230034774777E+004 2.642186745472535E-002 3.076648822947796E-002 
2.167704104819729E+004 1.326738879207857E-002 1.143609956268455E-002 
2.175204034019557E+004 1.713203004732831E-002 2.902986396642949E-002 
2.182729911843036E+004 1.922446445155680E-002 9.322264700704505E-002 
2.190281828068490E+004 2.907159808384917E-002 8.552296191532889E-002 
2.197859872784860E+004 1.712728171485780E-002 1.038075437792897E-001 
2.205464136392785E+004 2.834335097550249E-002 9.273358424766173E-002 
2.213094709605674E+004 3.057369898540727E-002 -3.230471356409725E-002 
2.220751683450790E+004 2.122157357238232E-002 3.594433103357821E-002 
2.228435149270340E+004 2.375314199792110E-002 1.116571416835165E-001 
2.236145198722558E+004 1.023225884647610E-002 -2.936221196247864E-002 
2.243881923782803E+004 2.202852935332423E-002 4.012014451578766E-002 
2.251645416744655E+004 3.124011685883879E-003 7.622546080607480E-002 
2.259435770221015E+004 3.256651677898375E-002 8.959478299921109E-002 
2.267253077145212E+004 1.948715390763675E-002 -3.864632372671263E-003 
2.275097430772109E+004 1.692258384561787E-002 -1.120688720051413E-002 
2.282968924679217E+004 1.834981408316012E-002 6.284263900402039E-003 
2.290867652767812E+004 1.181753919571296E-002 7.444493181760618E-002 
2.298793709264053E+004 2.506345955962677E-002 -3.430712877942249E-002 
2.306747188720108E+004 1.920873234207431E-002 6.596875454988853E-002 
2.314728186015282E+004 1.889133898677320E-002 8.385595018323042E-002 
2.322736796357147E+004 1.270555977496649E-002 1.792485879272686E-002 
2.330773115282678E+004 2.276631413078615E-002 7.723416469072460E-002 
2.338837238659395E+004 2.737487324629197E-002 3.537788353231607E-004 
2.346929262686506E+004 3.238511513377691E-002 1.189035203054507E-002 
2.355049283896051E+004 3.290836915360445E-002 2.904135067236568E-002 
2.363197399154058E+004 1.361687233043251E-002 -1.140540742232557E-003 
2.371373705661697E+004 9.175394366578393E-003 3.311838659527495E-002 
2.379578300956439E+004 1.337429465940308E-002 5.792596268889011E-003 
2.387811282913220E+004 2.690741205132612E-002 9.430312674239595E-002 
2.396072749745609E+004 2.177549989697360E-002 1.139312097542305E-001 
2.404362800006977E+004 2.166303865117873E-002 3.628745786526189E-002 
2.412681532591677E+004 2.998120498024347E-002 6.821843576834909E-002 
2.421029046736222E+004 1.816771112411108E-002 2.049219053849942E-002 
2.429405442020467E+004 2.080189942370257E-002 -1.888287680985342E-002 
2.437810818368797E+004 2.270250449801576E-002 1.998887578416484E-002 
2.446245276051324E+004 6.674965562622334E-003 2.773661156512127E-002 
2.454708915685076E+004 2.791696067239958E-002 -5.147602011792873E-002 
2.463201838235202E+004 3.022294953515677E-002 -2.731372020258727E-003 
2.471724145016176E+004 1.291881021312816E-002 -8.961099494825887E-003 
2.480275937693004E+004 1.842278704227532E-002 5.569703907922960E-003 
2.488857318282438E+004 1.289425008150358E-002 1.943440950783614E-002 
2.497468389154191E+004 1.153353868165418E-002 6.989998294703284E-002 
2.506109253032161E+004 2.760965870618568E-002 -8.038272973284127E-002 
2.514780012995657E+004 1.829039136919568E-002 -9.530624414078518E-003 
2.523480772480623E+004 2.536172346304960E-002 8.734859374247332E-002 
2.532211635280879E+004 1.600620585025134E-002 5.942717159683924E-003 
2.540972705549354E+004 1.798716307835007E-002 8.388753093518739E-002 
2.549764087799332E+004 2.426420633284968E-002 6.658689976495284E-002 
2.558585886905696E+004 1.457102040952135E-002 3.746509447890125E-002 
2.567438208106180E+004 1.925074998570367E-002 2.512709003187354E-002 
2.576321157002626E+004 2.539652318289390E-002 7.689145687341327E-002 
2.585234839562242E+004 1.070297608173234E-002 2.843724236686442E-002 
2.594179362118865E+004 1.519806363632116E-002 -4.930247172490615E-002 
2.603154831374234E+004 1.254026865126075E-002 5.029970565149391E-003 
2.612161354399258E+004 2.267627774261063E-002 8.398272860753630E-004 
2.621199038635295E+004 1.499950261747418E-002 3.924439121721588E-003 
2.630267991895435E+004 3.152294313772060E-002 7.919030694661218E-002 
2.639368322365783E+004 1.801459578302034E-002 1.430951808395229E-002 
2.648500138606754E+004 2.407894464863638E-002 3.468663917639581E-002 
2.657663549554365E+004 1.705971680781137E-002 -6.234856565233119E-003 
2.666858664521534E+004 1.557813004114665E-002 -3.712633153829886E-002 
2.676085593199387E+004 1.042619160715540E-002 -1.951455473836481E-002 
2.685344445658563E+004 6.739974647013167E-003 -5.368655498487280E-002 
2.694635332350529E+004 2.853059517391665E-002 5.880742924947729E-002 
2.703958364108900E+004 1.416520652107108E-002 1.010587933898806E-002 
2.713313652150755E+004 1.649529736553853E-002 5.338859180114210E-003 
2.722701308077969E+004 3.100988813429164E-002 -8.791751880490573E-002 
2.732121443878543E+004 1.947501618442591E-002 1.303322245223885E-002 
2.741574171927940E+004 3.062885701183673E-002 3.672299768015055E-002 
2.751059604990423E+004 3.149918330925654E-002 -1.969392804048426E-002 
2.760577856220404E+004 1.927045995121472E-002 -8.670223530206906E-003 
2.770129039163792E+004 9.208167589321170E-003 4.255055554198018E-003 
2.779713267759348E+004 1.542171324625707E-002 -3.021953526643920E-002 
2.789330656340042E+004 1.779189501666314E-002 -5.436460529619659E-003 
2.798981319634423E+004 1.273907587082307E-002 1.952860244464110E-002 
2.808665372767978E+004 1.422070292343704E-002 -6.155404131166299E-003 
2.818382931264514E+004 1.420471194293844E-002 -6.703396080877620E-002 
2.828134111047534E+004 2.172470243429998E-002 -3.113823835941462E-002 
2.837919028441617E+004 1.340554865795810E-002 1.411674755795205E-002 
2.847737800173808E+004 1.677875535957940E-002 2.765547520142091E-002 
2.857590543375009E+004 1.691198973478386E-002 -1.615600608465612E-002 
2.867477375581379E+004 3.072145006532299E-002 1.095748657969053E-002 
2.877398414735732E+004 2.497721897442562E-002 7.401985061631910E-003 
2.887353779188950E+004 1.544227658106467E-002 5.905020877635943E-002 
2.897343587701387E+004 1.752423691802621E-002 2.999564992175586E-002 
2.907367959444293E+004 1.154502308864400E-002 4.787219474110144E-002 
2.917427014001232E+004 9.136550331474031E-003 4.324560047855595E-002 
2.927520871369507E+004 8.418255276305183E-003 -5.007427112047015E-002 
2.937649651961596E+004 2.266645831673703E-002 -1.996096573992814E-002 
2.947813476606586E+004 2.102181434937116E-002 -9.011999861769144E-003 
2.958012466551612E+004 1.858835913766836E-002 1.801927285153651E-002 
2.968246743463309E+004 6.222737714896990E-003 5.499051841043552E-002 
2.978516429429257E+004 8.704408405624991E-003 6.326400755899870E-005 
2.988821646959443E+004 1.405320529325261E-002 -1.061319789125797E-002 
2.999162518987719E+004 2.008714874306002E-002 1.849566318390013E-002 
3.009539168873270E+004 1.956275665284797E-002 7.828195439849840E-003 
3.019951720402085E+004 1.908642816837744E-002 2.832277832287984E-002 
3.030400297788434E+004 8.403792488883064E-003 -3.744969417827764E-002 
3.040885025676349E+004 2.468829958264232E-002 -5.088082532507423E-002 
3.051406029141113E+004 2.102349756263362E-002 -3.435230744603459E-003 
3.061963433690749E+004 1.131056895891543E-002 6.048020914903535E-002 
3.072557365267519E+004 9.962876871610564E-003 -4.306977489398137E-002 
3.083187950249427E+004 1.808661376370419E-002 -6.031574280996262E-002 
3.093855315451725E+004 1.509359607970608E-002 4.338092074775098E-003 
3.104559588128429E+004 1.817013799257738E-002 -5.047574788716018E-002 
3.115300895973831E+004 1.363242150798357E-002 7.389075914677733E-002 
3.126079367124029E+004 4.086845687213568E-003 1.484895344890786E-002 
3.136895130158451E+004 2.037300143239954E-002 6.142626994312768E-003 
3.147748314101391E+004 2.218756229257747E-002 -4.882505400777007E-002 
3.158639048423547E+004 2.133231736712210E-002 -3.310282620911322E-002 
3.169567463043567E+004 1.101681834169427E-002 -5.521194998694326E-003 
3.180533688329598E+004 1.814268071614267E-002 -9.456391355228026E-002 
3.191537855100839E+004 1.111388406639927E-002 3.648400991556708E-002 
3.202580094629106E+004 2.620864256846800E-002 -3.262275304901151E-002 
3.213660538640395E+004 9.344458031606545E-003 -4.553843453626541E-002 
3.224779319316455E+004 1.010723597538508E-002 2.821183777896443E-003 
3.235936569296362E+004 2.055993193652978E-002 5.886819317589435E-002 
3.247132421678104E+004 1.735982135553158E-002 -4.465254619818638E-002 
3.258367010020168E+004 1.267448310841371E-002 -6.131181954760567E-002 
3.269640468343134E+004 1.352644999280709E-002 -1.654212709769777E-002 
3.280952931131271E+004 1.808322919747678E-002 -6.916765195827887E-002 
3.292304533334146E+004 1.663492072318364E-002 -1.774379554643574E-002 
3.303695410368230E+004 1.957144838545647E-002 3.418096697957484E-003 
3.315125698118513E+004 3.144845989666761E-002 -4.011227333686564E-002 
3.326595532940128E+004 7.036842708976056E-003 -2.772695017767132E-002 
3.338105051659977E+004 2.680241800937912E-002 -5.641453056918287E-002 
3.349654391578360E+004 1.669805303329364E-002 -2.261795600110158E-002 
3.361243690470619E+004 1.720492386434241E-002 2.443113956930517E-002 
3.372873086588773E+004 2.547651832154811E-002 -2.772805980452766E-002 
