# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 7.802045903664284E-003 9.382891631381481E-002 
1.003459849147839E+004 1.672012443784642E-002 9.889345850610884E-002 
1.006931668851804E+004 2.245713657504113E-002 5.272891685769136E-003 
1.010415500528214E+004 -5.016072087769294E-004 1.382914232227856E-001 
1.013911385736680E+004 1.461388355685946E-002 2.755273687536366E-002 
1.017419366180605E+004 1.000236416618065E-002 1.102078925641159E-001 
1.020939483707681E+004 9.326742908181331E-003 1.227289482447912E-001 
1.024471780310382E+004 6.765488573333069E-003 1.032725734829186E-001 
1.028016298126474E+004 1.119706641652997E-002 8.089759520534198E-002 
1.031573079439512E+004 1.519699934818874E-002 5.837199526551153E-002 
1.035142166679345E+004 5.318932320092878E-003 1.196904556457279E-001 
1.038723602422623E+004 1.395007269789493E-002 1.422358357819480E-001 
1.042317429393305E+004 1.334341321396177E-002 1.175060696051461E-001 
1.045923690463170E+004 1.182571721712160E-002 8.647432354084866E-002 
1.049542428652324E+004 1.201254911302676E-002 1.223919431931415E-001 
1.053173687129718E+004 1.167389312473265E-002 3.023396283814505E-002 
1.056817509213660E+004 1.162423766188291E-002 1.329193573322499E-001 
1.060473938372335E+004 1.998578363092102E-002 8.074461499834590E-002 
1.064143018224318E+004 7.894288010291744E-003 4.338642638669567E-002 
1.067824792539100E+004 1.728013236562048E-002 5.815774614558344E-002 
1.071519305237608E+004 8.078572936468216E-003 8.152917606187983E-002 
1.075226600392728E+004 1.420655263101930E-002 1.141988121063674E-001 
1.078946722229831E+004 -2.241511913041536E-005 9.772317775672422E-002 
1.082679715127302E+004 9.278721498425695E-003 1.047045308788049E-001 
1.086425623617068E+004 7.903399223224819E-003 1.056320336194842E-001 
1.090184492385130E+004 1.064926260636910E-002 1.126722663178926E-001 
1.093956366272096E+004 9.807670061175347E-004 1.150670201696010E-001 
1.097741290273716E+004 1.910062140203849E-002 8.418648320879288E-002 
1.101539309541417E+004 1.256228922408440E-002 1.144982143158734E-001 
1.105350469382845E+004 1.283196759158802E-002 1.334612326264169E-001 
1.109174815262403E+004 6.728170524647369E-003 9.621407988850934E-002 
1.113012392801794E+004 1.622621344439796E-002 1.088696733159014E-001 
1.116863247780564E+004 2.063688531682505E-002 1.615442276976063E-001 
1.120727426136650E+004 9.689605270328319E-003 9.769990599129849E-002 
1.124604973966929E+004 7.644787961108211E-003 9.310210622889827E-002 
1.128495937527765E+004 2.482357998421066E-002 9.559369574350149E-002 
1.132400363235560E+004 4.015626508177071E-003 8.081663380847996E-002 
1.136318297667313E+004 1.363437372753342E-002 8.401791396520233E-002 
1.140249787561172E+004 2.275627989628787E-003 1.850448258012159E-001 
1.144194879816989E+004 -3.357027332977060E-003 2.506513313723850E-002 
1.148153621496886E+004 7.719709689671518E-003 1.336164721739653E-001 
1.152126059825810E+004 1.257011584086990E-002 1.055272066759898E-001 
