# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.000000000000000E+004 1.303734202054083E-002 2.126157197338132E-001 
1.003459849147839E+004 2.205631945031956E-002 1.163672030130189E-001 
1.006931668851804E+004 2.154504819290843E-002 4.570590912479790E-002 
1.010415500528214E+004 1.262927465425723E-002 2.774533318874098E-002 
1.013911385736680E+004 1.938637756536994E-002 3.882246995831759E-002 
1.017419366180605E+004 1.586433036278054E-002 3.561299433324996E-002 
1.020939483707681E+004 1.475565595006973E-002 1.526578342041958E-001 
1.024471780310382E+004 1.607853920585230E-002 7.386358813683368E-002 
1.028016298126474E+004 6.686773395338985E-003 1.098010625697449E-001 
1.031573079439512E+004 1.892823612933461E-002 8.592923089212552E-002 
1.035142166679345E+004 9.179904551013515E-004 1.188716729660390E-001 
1.038723602422623E+004 1.765095676808839E-002 1.436512628915787E-001 
1.042317429393305E+004 1.581682044988889E-002 1.275867741388841E-001 
1.045923690463170E+004 1.827152254736934E-002 1.803080172478489E-001 
1.049542428652324E+004 1.279294622793493E-002 1.115952246922323E-001 
1.053173687129718E+004 5.758804689605769E-003 1.367583779702148E-001 
1.056817509213660E+004 1.358885135188154E-002 1.630099556877629E-001 
1.060473938372335E+004 1.503680658059022E-002 1.108468798281545E-001 
1.064143018224318E+004 5.574823021882960E-003 1.048929180971107E-001 
1.067824792539100E+004 8.552511575466491E-003 1.080256846004475E-001 
1.071519305237608E+004 8.161099865893206E-003 1.267293139077995E-001 
1.075226600392728E+004 1.364676687758297E-002 1.818951469350348E-001 
1.078946722229831E+004 2.788530842864966E-003 6.290962731804003E-002 
1.082679715127302E+004 9.960577150343555E-003 1.326210754334497E-001 
1.086425623617068E+004 1.266722265831263E-002 1.407769290013916E-001 
1.090184492385130E+004 1.373545158579186E-002 1.565388082873828E-001 
1.093956366272096E+004 1.917442237639427E-003 2.020792312774285E-001 
1.097741290273716E+004 1.482805382189409E-002 1.861729043414116E-001 
1.101539309541417E+004 7.737548085026796E-003 1.278007102697786E-001 
1.105350469382845E+004 1.987484278956301E-002 1.074504779073396E-001 
1.109174815262403E+004 2.661095680634353E-003 1.607056464894134E-001 
1.113012392801794E+004 1.638652870967379E-002 1.403159960043036E-001 
1.116863247780564E+004 1.623499709263618E-002 2.045651636943812E-001 
